id;title;category_id;categoy_name
"MLA715663816";"Panoramic Tv Led 24";"MLA1002";"TVs"
"MLA776558882";"Volcan Calefactor 42312vn Tb 2000 Cal Gn";"MLA438142";"Eléctricos"
"MLA792296845";"Cargador Sony Pilas Recargables C/ 4 Pilas Aa 2500mah";"MLA10457";"Cargadores de Pilas"
"MLA720246308";"Panoramic Tv Led 39 Pnm- 4039";"MLA1002";"TVs"
"MLA774511245";"Ventilador De Techo Vtep5618e";"MLA1645";"Ventiladores"
"MLA705421128";"Tv Noblex Led 24  Dh24x4100i";"MLA409591";"Otros"
"MLA768734183";"Aire Acondicionado Split Philco Phs32ha4an 3500w";"MLA1644";"Aires Acondicionados"
"MLA738354278";"Lg Lavarropas Aut Wt8ssb | Superior | 8kg | 720rpm | Silver";"MLA431202";"Lavarropas y Lavasecarropas"
"MLA751656280";"Termotanque Tpg080";"MLA4851";"Termotanques"
"MLA776558734";"Calefactor Orbis  4140bon";"MLA438142";"Eléctricos"
"MLA695796291";"Test Rite Sombrilla Kus0187u Polyester Red";"MLA411829";"Sombrillas"
"MLA804711502";"Anafe Electrico Coolbrand Doble Embutir Empotrar Y Sobremesa";"MLA4854";"Anafes"
"MLA812783682";"Cocina Doble Horno Electrolux 56dax";"MLA4344";"Cocinas"
"MLA755139719";"Philco Led Smart Tv 43  Pld43fs8b";"MLA1002";"TVs"
"MLA788707669";"J.v.c. Tv Led 50  Lt50da770 Full Hd Smart Tv";"MLA1002";"TVs"
"MLA753595656";"Hisense Aire Acondicionado His35wco 3500 Watts Frio-calor";"MLA1644";"Aires Acondicionados"
"MLA812834356";"Microondas Atma Md1720 20lts Blanco 700w Digital";"MLA1577";"Microondas"
"MLA792029411";"Microondas Quick Chef Bgh B223de 23lts.c/grill";"MLA1577";"Microondas"
"MLA757076770";"Sanyo Led Smart Tv Lce43if26x";"MLA1002";"TVs"
"MLA771692617";"Kindle Amazon Paperwhite E-book 7gen Luz Wifi 4gb";"MLA411069";"E-readers"
"MLA696133859";"Philco Ventilador De Pared Vrp1618b 16";"MLA1645";"Ventiladores"
"MLA758999945";"Sony Microcomponente Mhc-ecl77bt";"MLA1014";"Minicomponentes"
"MLA745384850";"Electrolux Heladera Df-3000b C/freezer | No Frost ";"MLA398582";"Heladeras"
"MLA794097908";"Termotanque Saiar Tpg80";"MLA4851";"Termotanques"
"MLA788787516";"Longvie Lavasecarropas Ls-18012";"MLA431202";"Lavarropas y Lavasecarropas"
"MLA779589283";"Calefactor Orbis  4160bon";"MLA438142";"Eléctricos"
"MLA799061798";"Tablet Lenovo Tab E10 10.1 Tb-x104f 1gb 16g";"MLA82085";"Tablets"
"MLA758212989";"Sherman Termotanque Bajo Consumo 120l Tpg120";"MLA4851";"Termotanques"
"MLA715648143";"Eskabe Calefactor 3000c Tb S-21 Marfil C/aromatizador Bi Gas";"MLA438142";"Eléctricos"
"MLA725288005";"Atma Panel Calefactor Rv1516we  Blanco";"MLA438142";"Eléctricos"
"MLA757279710";"Lg Heladera Gc-f502hlhu | No Frost | 441lts";"MLA398582";"Heladeras"
"MLA735546954";"Aurora Microondas Rupha 25b 25lts Blanco";"MLA1577";"Microondas"
"MLA788714984";"Celular Liberado Zte Blade A321 4g 5 Gris";"MLA1055";"Celulares y Smartphones"
"MLA813048308";"Cocina De Microondas Rupha 20b";"MLA1577";"Microondas"
"MLA782105318";"Calefactor Convector Coppens  C60buam 30/60  Tb Unico ";"MLA438142";"Eléctricos"
"MLA782092516";"Calefactor Coppens  Peltre Ii 2500c Tb C25bipam";"MLA438142";"Eléctricos"
"MLA674337086";"Atma Climatizador Portatil Cp8143fce Frio/calor";"MLA412077";"Climatizadores Portátiles"
"MLA761656838";"T.v. Led 49  L49nxt Smart Tv  Rca";"MLA1002";"TVs"
"MLA745579384";"Acondicionador De Aire Split Bsih30cp";"MLA1644";"Aires Acondicionados"
"MLA727748403";"Cuisinart Pava Hervidora Cpk-18ar";"MLA10064";"Jarras Eléctricas"
"MLA811971615";"Celular Nokia  Ta-1190 Gris";"MLA1055";"Celulares y Smartphones"
"MLA713166730";"Samsung Led Smart Tv Un50mu6100";"MLA1002";"TVs"
"MLA760313625";"Philco A.aire Split Phs80h67x 8000kw Frio-calor";"MLA1644";"Aires Acondicionados"
"MLA817018945";"Motorola Celular Libre Moto Z2 Play Xt1710 Gris Lunar";"MLA1055";"Celulares y Smartphones"
"MLA791704115";"Buclera Rizador De Pelo Gama Innova Spirale ";"MLA43660";"Bucleras"
"MLA762434386";"Aire Acondicionado Hisi35wco 3500 Watts Hisense";"MLA1644";"Aires Acondicionados"
"MLA757948040";"Lg Lavarropas Automatico Wt-7dsb Silver Inverter";"MLA431202";"Lavarropas y Lavasecarropas"
"MLA705544302";"Eskabe Calefactor 2000c Tb S-21 Marfil Termostato";"MLA438142";"Eléctricos"
"MLA757072734";"Bgh Acondicionador De Aire Portatil Bp30cn Frio/calor";"MLA1644";"Aires Acondicionados"
"MLA779493500";"Almohada Insignia";"MLA7969";"Almohadas"
